round,cum_reward_lincb,cum_reward_random,cum_reward_oracle
305,-14.594821311681882,-19.35824498299921,27.3610504110843
306,-14.653860414814398,-19.268637187461177,27.365533994714873
307,-14.617147368955562,-19.31830609774037,27.49158294497236
308,-14.261430828651006,-19.267179610757978,27.929862899869015
309,-13.89728053596773,-18.91718148941482,28.30660057542776
310,-13.831952662879512,-18.95302260544496,28.213702316002678
311,-13.861084506594485,-18.961585064216816,28.223623279241874
312,-13.83181803185626,-18.90053337944055,28.253156735843877
313,-13.272429761898334,-18.74505945834484,28.70737289667987
314,-12.859732299430762,-18.608964187213434,29.059871616211268
315,-12.489513338434497,-18.467659465350124,29.429394913737536
316,-12.15586451094053,-18.33592561983611,29.82294705304599
317,-12.157129145081951,-18.247313040002624,29.809664206621836
318,-11.808400867644785,-18.155279686463004,30.19817443443266
319,-11.744415827056443,-17.804266001794318,30.554854278219477
320,-11.79050178098723,-17.820392787168334,30.640558583867104
321,-11.303350782174553,-17.81038493201117,31.20666635594115
322,-11.071582069829054,-17.743090214315085,31.687142087629844
323,-11.05822820093874,-17.737723661419317,32.06366462305638
324,-11.088428814684995,-17.71730640319958,32.063858224262944
325,-11.142948790549797,-17.448311250783256,32.46717972338462
326,-11.061950840545537,-17.395898506602393,32.94391113546638
327,-10.721965213221665,-17.126224954239557,33.23579818129514
328,-10.778058167004223,-17.070563407908374,33.63879929076713
329,-10.788890276280776,-17.012048881362567,33.99838027981444
330,-10.289695896496104,-16.997270706971943,34.36067404807266
331,-10.300128620473886,-16.801645957704395,34.73180211721442
332,-10.217691603471495,-16.456578674329148,35.15347089783763
333,-10.232282166917273,-16.53430964333541,35.17226108423731
334,-10.03269030394138,-16.42754340167758,35.499983062500526
335,-9.969461385074457,-16.45070164500115,35.50997083891038
336,-9.648674531300621,-16.2019592732151,35.89266295291768
337,-9.558440029674172,-16.052511013651518,36.329626378945875
338,-9.568031102584504,-15.951090547640234,36.23853539377899
339,-9.406151080454123,-15.61190936647533,36.728287754061306
340,-9.001745489742996,-15.376367984146205,37.15193733685889
341,-9.043712503927962,-15.07860635040058,37.663379794273325
342,-8.529080274577318,-14.614842456315838,38.2016787196258
343,-8.569954071255887,-14.572931825948137,38.311048022204034
344,-8.082275889154957,-14.56274603279627,38.69907013918207
345,-7.955354479839846,-14.175822898572259,39.04743692623776
346,-7.700909135019914,-14.073584461801977,39.50800066735498
347,-7.147187676755772,-14.088194021572784,39.97491912623232
348,-6.655542852325096,-14.102719771385884,40.471267263769285
349,-6.617252186182992,-14.039866773551429,40.51148099228284
350,-6.483586217041441,-13.95425670426871,40.92639287168859
351,-6.4994648769826275,-13.9880297765115,40.88066481259427
352,-6.075580040740946,-13.985504045442525,41.24964989047744
353,-5.747135130448682,-13.717308249655273,41.63354528296039
354,-5.655376017232568,-13.598347696174695,42.06218356729322
355,-5.585265635088071,-13.505019691390642,42.15181225235335
356,-4.973387967851223,-13.478575491121598,42.554846262468786
357,-5.020980491584954,-13.493756326386986,42.528508424599664
358,-4.928466098336544,-13.10615545625708,42.94828656333256
359,-4.51363585905722,-12.74111401439508,43.365379224819634
360,-4.167314106880445,-12.672659663275512,43.70575018109733
361,-4.178376294887927,-12.690125503081422,43.61191874992485
362,-3.9957382502998904,-12.54535820727526,43.95379384909675
363,-3.6319122650736713,-12.524419029981317,44.373903412540095
364,-3.188261564069624,-12.365446370215642,44.77833285876797
365,-2.87295431444989,-11.99154537543281,45.1805293822433
366,-2.8138603993194806,-11.87446811259674,45.48445299957368
367,-2.2871477225312615,-11.759591561729527,45.94188676700138
368,-1.9199850844902469,-11.634948694835199,46.2967920958997
369,-1.3420114863722195,-11.153700535040432,46.88375395326755
370,-1.2730571514934577,-11.103832910207213,47.24873684827163
371,21.584189044250756,11.979747841276538,70.5851903214453
372,21.59390861056005,12.369736583927283,70.9712377341603
373,21.59921754895116,12.346258974974216,70.950201194363
374,-2.465334534525276,-11.694681790858926,47.06887742355843
375,-2.540570553226826,-11.656678992674445,47.05905924309634
376,-2.1449618952290135,-11.584703416773651,47.493096761885354
377,-2.2037590021093334,-11.487254740982204,48.0288478675156
378,-1.6993285911326403,-11.247317486398494,48.51353828244374
379,-1.177267813708584,-11.258387390080765,49.027218337929405
380,-25.236712622359317,-35.25935952359892,25.266700914766776
381,-25.099170407225955,-35.09739004635976,25.669209543250513
382,-25.12979793937269,-35.110388007326485,25.62507850340832
383,-25.17409422304795,-35.125732064760854,25.671494455553294
384,-24.97094682487943,-34.95849965107918,26.026139450854664
385,-24.789436912513498,-34.780455176633566,26.4003264302561
386,-24.74375717292454,-34.79508936697133,26.38488772204824
387,-24.739839622710264,-34.831614291593375,26.765226222516016
388,-24.75024546557389,-34.69770879791145,26.741372235140055
389,-24.362283442844713,-34.66922713355798,27.12963666941919
390,-24.394556733017772,-34.728908975145806,27.176022949528264
391,-23.928325663805996,-34.61061613855653,27.684258122841573
392,-23.603483036777018,-34.572295572784306,28.141514327627323
393,-23.574530017272178,-34.691453084241374,28.129280153554635
394,-23.63425298130981,-34.70585479845066,28.666452835340515
395,-23.49276686976292,-34.69836445596283,28.994513329751637
396,-23.432045493748085,-34.78031414335166,29.004219826426827
397,-23.36993932862943,-34.654517099676966,29.33731095765544
398,-23.361846275869055,-34.274242472164794,29.69352569446888
399,-23.252759726761106,-33.95152589003599,30.075851136586387
400,-22.776219564027308,-33.84450946560618,30.485994173159114
401,-22.376162910869393,-33.74817830946313,30.879322981278573
402,-22.35377706457888,-33.80787455978308,30.88689870744533
403,-22.21913633253302,-33.79374510178985,30.921235713270953
404,-22.16814010355317,-33.856706732361495,30.878412323382076
405,-22.06965367730848,-33.80860238748558,31.289897567222333
406,-22.087438120716428,-33.773085762673645,31.33308157025864
407,-22.032279027855388,-33.67473981853404,31.41945266620745
408,-21.65136911723104,-33.64127792951705,31.852756548941844
409,-21.265811485342436,-33.55016390937754,32.238710387654336
410,-21.094575626210137,-33.139496137151475,32.61439320453411
411,-20.687813814658337,-33.056503243030164,33.00685623004428
412,-20.746443395100975,-33.14515486644051,33.07038087650855
413,-20.517002611747717,-33.085194387562815,33.35886241106048
414,-20.360115185064718,-33.090524125608546,33.40704868833409
415,-19.935365148326078,-33.04476171382886,33.800410039081946
416,-19.855134942535717,-33.08521427006598,34.27414363683179
417,3.010577376336947,-9.913440598350924,57.629071540756186
418,2.9674597576837747,-9.857234962351622,57.6768764352909
419,3.342226977741997,-9.883880034246664,58.04080581931226
420,3.7819544555696964,-9.787333678792503,58.42167615276352
421,-20.23894741858263,-33.81000277743616,34.60539239295222
422,-19.71490166421063,-33.707647737955895,35.08160216113517
423,-19.212821630269943,-33.2718099178255,35.481805615815354
424,-19.182391258152105,-33.271321072628815,35.44137975569051
425,-19.240691702605865,-33.27446478405518,35.361430333900636
426,-19.278827941534175,-33.2329910419586,35.352167598390565
427,-19.109625012243445,-33.1162661366412,35.75480631854016
428,-18.714698981557394,-32.918129759433945,36.20624886907629
429,-18.291027002203606,-32.56190518987207,36.66997964969036
430,-17.90165124037778,-32.40826271777883,37.01999625502481
431,-17.481693590354993,-32.481433252388804,37.43831096870342
432,-17.507030660529256,-32.57310031061412,37.43733534685234
433,-17.47910867046827,-32.532488321567165,37.39664292166181
434,-17.373057137102048,-32.563742267622686,37.44741187073041
435,-17.328807467797994,-32.55286023468822,37.344169397712164
436,-16.953652259931825,-32.553007372202025,37.70398636103959
437,-16.527512323014403,-32.492047339108126,38.08977395129921
438,-16.461832827446024,-32.50175354505998,38.18357661740314
439,-16.30184175856826,-32.3741587116455,38.615745881399484
440,-15.93809728462387,-32.27566332453232,38.94351657709916
441,-15.911094136419516,-32.315569246377336,39.003949456647234
442,-15.504620546840675,-32.202671326931366,39.38840922018328
443,-15.428429843970825,-32.121399886143685,39.73386286262301
444,-15.431507007664827,-32.14680689602605,39.72690241811071
445,-15.3137509165674,-32.155928161739936,39.81401277531288
446,-15.260184184778982,-31.77431390452538,40.2275342911629
447,-14.944103028548643,-31.719680932617273,40.58274505241884
448,-14.77454494706653,-31.75097348034281,41.131548219191345
449,-14.7243295751259,-31.72511363861586,41.04478438478827
450,-14.622154727047457,-31.31526187450233,41.43089071659387
451,-14.512866865784954,-31.084633333998084,41.91409045319176
452,-14.079867556858911,-30.66396115345785,42.31070032839194
453,-13.742214282304682,-30.594743436242226,42.66410092185516
454,-13.647381286883604,-30.471472907492366,43.11768695521925
455,-13.600975855230276,-30.098274242849257,43.57858356533203
456,-13.325658101173484,-30.027903904983262,43.991019324278675
457,-13.276224642705584,-30.09547619322786,44.000114978925765
458,-12.90582698281016,-29.84670174513204,44.316890127686754
459,9.945810979838209,-6.762791368525431,67.71925737569413
460,10.334202117776405,-6.7480085551037785,68.12948633629973
461,10.527907811550643,-6.731736967176964,68.21656944919877
462,10.894711307546046,-6.609340733735934,68.68391310229978
463,10.906489250171322,-6.579745518549811,69.15820538187906
464,-13.174196493902816,-30.617247214538068,45.4010974196341
465,-13.187966647843336,-30.609603759370074,45.45085618853884
466,-12.951864562967165,-30.29879143658566,45.810155434283224
467,-12.951674409161006,-30.379996293172628,45.815968755994135
468,-12.53731600007757,-29.871919884125454,46.11993901787196
469,-12.422428454651739,-29.89375805141939,46.104741160249446
470,-12.315571415941045,-29.915220272434322,46.2543584789104
471,-12.060633106370329,-29.835931671282037,46.638756551209475
472,-11.846589496443922,-29.537264773354213,46.9658630962307
473,-11.825184025023159,-29.536196273372315,46.98667448034052
474,-11.798634508622468,-29.466572665225186,47.04586720716029
475,-11.325734791875998,-29.05009808246623,47.5014464326157
476,-11.308143930796872,-29.00525808739293,47.396041815999425
477,-11.212824052273955,-28.946181314682676,47.9823076018444
478,-10.815750179760025,-28.58027623516967,48.3081596236944
479,-10.81567001110937,-28.549084554540883,48.33169097177833
480,-10.735866320488865,-28.522970469705218,48.73790515900681
481,-10.683222829769788,-28.19835137615216,49.27511260336082
482,-10.245320034647994,-28.14722184464054,49.82853437980623
483,-9.924939669164432,-28.042860293502592,50.24729937010045
484,-9.571579397537413,-28.106371042621962,50.74516259716271
